east,north,au
625729,596288,17
625774,596262,11
625819,596236,2
625865,596209,5
625910,596183,19
625955,596156,0
626001,596130,0
626046,596104,0
626091,596077,3
626137,596051,2
626182,596024,4
626227,595998,19
626273,595972,6
626318,595945,4
626363,595919,7
626409,595893,3
626454,595866,6
626500,595840,3
626545,595813,0
626590,595787,10
626636,595761,0
625683,596315,4
625638,596341,9
625593,596368,13
625547,596394,0
625502,596420,18
625457,596447,38
625411,596473,0
625366,596500,17
625321,596526,0
625275,596552,0
625230,596579,10
625185,596605,151
625139,596631,235
625094,596658,64
625048,596684,8
625003,596711,58
624958,596737,72
624912,596763,50
624867,596790,40
624822,596816,38
624675,596355,5
624720,596329,0
624766,596306,0
624811,596276,41
624856,596250,170
624902,596223,4
624947,596197,0
624992,596171,10
625038,596144,3
625083,596118,51
625128,596091,37
625174,596065,44
625219,596036,35
625264,596012,243
625310,595986,50
625355,595959,19
625400,595933,9
625446,595907,0
625491,595880,10
625536,595854,8
625582,595828,85
625627,595801,2
625673,595775,12
625718,595748,0
625763,595722,48
625809,595696,7
625854,595669,19
625899,595643,7
625945,595616,7
625990,595590,11
626035,595564,4
626081,595537,21
626126,595511,10
626171,595484,57
626217,595458,13
626262,595432,6
626307,595405,0
626353,595379,3
626398,595352,2
626443,595326,0
626489,595300,0
626534,595273,0
624566,595751,9
624611,595725,0
624657,595698,3
624702,595672,0
624747,595645,6
624793,595619,10
624838,595593,0
624883,595566,0
624929,595540,1
624974,595513,7
625019,595487,2
625065,595461,9
625110,595434,5
625155,595408,41
625201,595382,61
625246,595355,53
625292,595329,56
625337,595302,23
625382,595276,103
625428,595250,40
625473,595223,13
625518,595197,11
625564,595170,23
625609,595144,29
625654,595118,10
625700,595091,356
625745,595065,132
625790,595038,372
625836,595012,52
625881,594986,15
625926,594959,0
625972,594933,0
626017,594906,0
626062,594880,16
626108,594854,5
626153,594827,5
626198,594801,5
626244,594775,19
626289,594748,0
626334,594722,8
624521,595777,3
624475,595804,0
624302,595298,0
624347,595271,0
624393,595245,0
624438,595218,8
624483,595192,8
624529,595166,0
624574,595139,8
624620,595113,0
624665,595086,0
624710,595060,0
624756,595034,0
624801,595007,0
624846,594954,0
624892,594954,0
624937,594928,0
624982,594902,0
625028,594875,2
625073,594849,0
625118,594822,16
625164,594796,14
625209,594770,33
625254,594743,60
625300,594717,127
625345,594691,40
625390,594664,65
625436,594638,37
625481,594611,52
625526,594585,13
625572,594559,265
624943,597024,9
624989,596998,12
625034,596972,11
625079,596945,23
625125,596919,21
625170,596892,12
625215,596866,15
625261,596840,30
625306,596813,22
625351,596787,8
625397,596761,7
625442,596734,15
625487,596708,8
625533,596681,10
625578,596655,7
625623,596629,3
625669,596602,12
625714,596576,8
625759,596549,0
625805,596523,11
624701,596608,13
624746,596581,0
624791,596555,29
624837,596528,43
624882,596502,26
624927,596476,53
624972,596449,61
625018,596423,72
625063,596396,73
625108,596370,40
625154,596344,41
625199,596317,41
625244,596291,22
625290,596264,17
625335,596238,25
625380,596212,0
625426,596185,13
625471,596159,45
625516,596132,21
625562,596106,2
625114,595129,28
625159,595102,30
625204,595076,151
625250,595049,40
625295,595023,178
625340,594997,22
625386,594970,221
625431,594944,134
625476,594917,127
625522,594891,61
625567,594865,8
625612,594838,32
625658,594812,67
625703,594785,32
625748,594759,32
625793,594732,57
625839,594706,20
625884,594680,27
625929,594653,43
625974,594627,7
626020,594602,19
626065,594576,5
624935,595864,18
624980,595838,15
625026,595811,23
625071,595785,20
625116,595758,33
625162,595732,61
625207,595706,72
625252,595679,414
625298,595653,69
625343,595626,49
625388,595600,67
625434,595574,3
625479,595547,8
625524,595521,26
625570,595494,78
625615,595468,11
625660,595442,29
625706,595415,25
625751,595389,62
625796,595362,10
628373,611871,14
628394,611846,0
628433,611825,0
628477,611807,0
628404,612114,0
628457,612102,0
628490,612069,0
628529,612051,236
628375,612138,0
628339,612155,9
628295,612172,10
628252,612210,3
628203,612225,2
628144,612246,10
628110,612265,2
628065,612285,7
628023,612318,8
627983,612337,10
627945,612363,2
628318,611900,10
628254,611932,0
628227,611955,3
